"Seq", "Problem", "dmd_num", "ttbnd_num", "wkd_scen", "ash_num", "dmd_file", "basemix_file", "ttbnd_file", "wkd_file", "min_file", "us1", "us2", "usb", "budget", "ptfrac", "solver", "timelimit", "mipgap", "sol_status", "problem", "MIP_obj", "tot_cap", "phase1_sol_status", "us1_cost", "us2_cost", "phase2_obj", "timestamp", "phase2_sol_status"
"1531", "mwts04_d02_t1_a01_ptub_tight", "2", "1", "tight", "1", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t1_a01_ptub_tight", "15088.5", "13440", "optimal", "583.5", "1065", "840", "2012-07-06 14:05:37.104101", "optimal"
"1532", "mwts04_d02_t1_a02_ptub_tight", "2", "1", "tight", "2", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t1_a02_ptub_tight", "15088.5", "13440", "optimal", "583.5", "1065", "840", "2012-07-06 14:15:16.777906", "optimal"
"1533", "mwts04_d02_t1_a01_ptub_moderate", "2", "1", "moderate", "1", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t1_a01_ptub_moderate", "14889", "13440", "optimal", "603", "846", "840", "2012-07-06 14:24:52.969888", "optimal"
"1534", "mwts04_d02_t1_a02_ptub_moderate", "2", "1", "moderate", "2", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t1_a02_ptub_moderate", "14889", "13440", "optimal", "603", "846", "840", "2012-07-06 14:28:27.600049", "optimal"
"1535", "mwts04_d02_t1_a01_ptub_loose", "2", "1", "loose", "1", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t1_a01_ptub_loose", "14698", "13120", "optimal", "642", "936", "820", "2012-07-06 14:34:43.598187", "optimal"
"1536", "mwts04_d02_t1_a02_ptub_loose", "2", "1", "loose", "2", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t1_a02_ptub_loose", "14698", "13120", "optimal", "642", "936", "820", "2012-07-06 14:43:23.156842", "optimal"
"1537", "mwts04_d02_t2_a01_ptub_tight", "2", "2", "tight", "1", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_2.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t2_a01_ptub_tight", "14496.5", "13472", "optimal", "457.5", "566.999999998683", "842", "2012-07-06 14:49:41.064821", "optimal"
"1538", "mwts04_d02_t2_a02_ptub_tight", "2", "2", "tight", "2", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_2.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t2_a02_ptub_tight", "14496.5", "13472", "optimal", "457.5", "566.999999998683", "842", "2012-07-06 14:54:47.444888", "optimal"
"1539", "mwts04_d02_t2_a01_ptub_moderate", "2", "2", "moderate", "1", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_2.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t2_a01_ptub_moderate", "14288", "13328", "optimal", "432", "527.999999997174", "833", "2012-07-06 15:01:46.749208", "optimal"
"1540", "mwts04_d02_t2_a02_ptub_moderate", "2", "2", "moderate", "2", "exps/mwts04/inputs/dmd/width02_pacu.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_2.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d02_t2_a02_ptub_moderate", "14288", "13328", "optimal", "432", "527.999999997174", "833", "2012-07-06 15:09:01.491873", "optimal"
