tournum tourtype week period day shiftlength startwin
1 1 1 11 2 16 11
1 1 2 11 2 16 11
1 1 3 11 2 16 11
1 1 4 11 2 16 11
1 1 1 11 3 16 11
1 1 2 11 3 16 11
1 1 3 11 3 16 11
1 1 4 11 3 16 11
1 1 1 11 4 16 11
1 1 2 11 4 16 11
1 1 3 11 4 16 11
1 1 4 11 4 16 11
1 1 1 11 5 16 11
1 1 2 11 5 16 11
1 1 3 11 5 16 11
1 1 4 11 5 16 11
1 1 1 11 6 16 11
1 1 2 11 6 16 11
1 1 3 11 6 16 11
1 1 4 11 6 16 11
2 1 1 11 2 16 11
2 1 2 11 2 16 11
2 1 3 11 2 16 11
2 1 4 11 2 16 11
2 1 1 11 3 16 11
2 1 2 11 3 16 11
2 1 3 11 3 16 11
2 1 4 11 3 16 11
2 1 1 11 4 16 11
2 1 2 11 4 16 11
2 1 3 11 4 16 11
2 1 4 11 4 16 11
2 1 1 11 5 16 11
2 1 2 11 5 16 11
2 1 3 11 5 16 11
2 1 4 11 5 16 11
2 1 1 11 6 16 11
2 1 2 11 6 16 11
2 1 3 11 6 16 11
2 1 4 11 6 16 11
3 2 3 11 2 16 11
3 2 2 11 3 16 11
3 2 4 11 3 16 11
3 2 1 11 4 16 11
3 2 2 11 4 16 11
3 2 1 11 5 16 11
3 2 4 11 5 16 11
3 2 2 11 6 16 11
3 2 3 11 6 16 11
3 2 4 11 6 16 11
4 1 1 12 2 16 12
4 1 2 12 2 16 12
4 1 3 12 2 16 12
4 1 4 12 2 16 12
4 1 1 12 3 16 12
4 1 2 12 3 16 12
4 1 3 12 3 16 12
4 1 4 12 3 16 12
4 1 1 12 4 16 12
4 1 2 12 4 16 12
4 1 3 12 4 16 12
4 1 4 12 4 16 12
4 1 1 12 5 16 12
4 1 2 12 5 16 12
4 1 3 12 5 16 12
4 1 4 12 5 16 12
4 1 1 12 6 16 12
4 1 2 12 6 16 12
4 1 3 12 6 16 12
4 1 4 12 6 16 12
