tournum tourtype week period day shiftlength startwin
1 2 1 11 3 16 11
1 2 3 11 4 16 11
1 2 4 11 6 16 11
1 2 1 12 2 16 11
1 2 3 12 2 16 11
1 2 2 12 4 16 11
1 2 2 12 5 16 11
1 2 4 13 5 16 11
1 2 2 14 2 16 11
1 2 4 14 4 16 11
2 2 4 11 2 16 11
2 2 3 11 3 16 11
2 2 4 12 3 16 11
2 2 3 12 4 16 11
2 2 1 13 5 16 11
2 2 2 14 2 16 11
2 2 2 14 4 16 11
2 2 4 14 4 16 11
2 2 1 14 6 16 11
2 2 2 14 6 16 11
3 2 4 11 3 16 11
3 2 1 11 4 16 11
3 2 2 11 4 16 11
3 2 4 11 5 16 11
3 2 3 11 6 16 11
3 2 3 12 3 16 11
3 2 2 13 3 16 11
3 2 2 13 5 16 11
3 2 4 14 2 16 11
3 2 1 14 5 16 11
4 2 3 11 2 16 11
4 2 4 11 3 16 11
4 2 4 11 4 16 11
4 2 3 12 3 16 11
4 2 1 12 4 16 11
4 2 2 13 4 16 11
4 2 1 13 5 16 11
4 2 4 13 6 16 11
4 2 2 14 3 16 11
4 2 2 14 5 16 11
5 3 1 11 2 20 11
5 3 3 11 2 20 11
5 3 2 11 6 20 11
5 3 3 11 6 20 11
5 3 2 12 2 20 11
5 3 1 12 4 20 11
5 3 4 13 2 20 11
5 3 2 13 3 20 11
5 3 2 13 4 20 11
5 3 3 13 5 20 11
5 3 4 13 6 20 11
5 3 1 14 3 20 11
5 3 3 14 3 20 11
5 3 4 14 3 20 11
5 3 1 14 5 20 11
5 3 4 14 5 20 11
6 3 3 11 2 20 11
6 3 2 11 5 20 11
6 3 1 11 6 20 11
6 3 2 12 3 20 11
6 3 4 12 3 20 11
6 3 2 12 4 20 11
6 3 3 12 4 20 11
6 3 4 12 4 20 11
6 3 2 13 2 20 11
6 3 1 13 3 20 11
6 3 1 13 4 20 11
6 3 4 13 5 20 11
6 3 1 14 2 20 11
6 3 3 14 3 20 11
6 3 3 14 6 20 11
6 3 4 14 6 20 11
7 3 2 11 2 20 11
7 3 4 11 2 20 11
7 3 1 11 3 20 11
7 3 4 11 3 20 11
7 3 2 11 4 20 11
7 3 1 11 5 20 11
7 3 4 11 5 20 11
7 3 2 12 6 20 11
7 3 3 12 6 20 11
